id,text,label
1,partner aku selalu buat aku happy,Positive
2,kami selalu bergaduh tiap hari,Negative
3,relationship ni stabil je,Neutral
4,he always makes me smile,Positive
5,partner aku selalu ignore aku,Negative
6,aku tak pasti status relationship ni,Neutral
7,partner aku selalu buat aku happy,Positive
8,aku rasa stressed dalam relationship ni,Negative
9,tak ada masalah besar antara kami,Neutral
10,aku sangat selesa dengan dia,Positive
11,dia selalu marah tanpa sebab,Negative
12,relationship kami okay je,Neutral
13,bf aku sangat caring dan selalu support aku,Positive
14,dia langsung tak peduli perasaan aku,Negative
15,kami biasa biasa sahaja,Neutral
16,he always makes me smile,Positive
17,aku rasa stressed dalam relationship ni,Negative
18,neutral je sekarang,Neutral
19,bf aku sangat caring dan selalu support aku,Positive
20,aku rasa stressed dalam relationship ni,Negative
21,kami biasa biasa sahaja,Neutral
22,kami selalu communicate dengan baik,Positive
23,dia selalu marah tanpa sebab,Negative
24,kami biasa biasa sahaja,Neutral
25,partner aku baik sangat dan penyayang,Positive
26,dia pentingkan diri sendiri,Negative
27,relationship ni stabil je,Neutral
28,bf aku sangat caring dan selalu support aku,Positive
29,aku rasa sangat penat dengan relationship ni,Negative
30,tak terlalu rapat tapi okay,Neutral
31,dia sangat understanding dengan aku,Positive
32,relationship ni toxic sangat,Negative
33,aku tak pasti status relationship ni,Neutral
34,he always makes me smile,Positive
35,aku rasa lonely walaupun ada partner,Negative
36,tak ada masalah besar antara kami,Neutral
37,partner aku selalu buat aku happy,Positive
38,dia selalu marah tanpa sebab,Negative
39,tak ada masalah besar antara kami,Neutral
40,dia sangat understanding dengan aku,Positive
41,aku rasa lonely walaupun ada partner,Negative
42,neutral je sekarang,Neutral
43,relationship kami sangat sihat dan bahagia,Positive
44,kami selalu bergaduh tiap hari,Negative
45,kami just go with the flow,Neutral
46,kami selalu communicate dengan baik,Positive
47,dia langsung tak peduli perasaan aku,Negative
48,tak terlalu rapat tapi okay,Neutral
49,partner aku selalu buat aku happy,Positive
50,aku rasa stressed dalam relationship ni,Negative
51,relationship ni stabil je,Neutral
52,aku sangat selesa dengan dia,Positive
53,aku rasa lonely walaupun ada partner,Negative
54,neutral je sekarang,Neutral
55,he always makes me smile,Positive
56,dia langsung tak peduli perasaan aku,Negative
57,relationship kami okay je,Neutral
58,he always makes me smile,Positive
59,relationship ni toxic sangat,Negative
60,tak ada masalah besar antara kami,Neutral
61,he always makes me smile,Positive
62,dia langsung tak peduli perasaan aku,Negative
63,tak terlalu rapat tapi okay,Neutral
64,relationship kami sangat sihat dan bahagia,Positive
65,kami tak serasi langsung,Negative
66,aku masih cuba faham dia,Neutral
67,saya rasa sangat disayangi oleh dia,Positive
68,aku rasa lonely walaupun ada partner,Negative
69,aku masih cuba faham dia,Neutral
70,he always makes me smile,Positive
71,relationship ni toxic sangat,Negative
72,tak ada masalah besar antara kami,Neutral
73,aku sangat selesa dengan dia,Positive
74,aku rasa sangat penat dengan relationship ni,Negative
75,tak ada isu besar setakat ni,Neutral
76,he always makes me smile,Positive
77,aku rasa sangat penat dengan relationship ni,Negative
78,kami just go with the flow,Neutral
79,aku rasa dihargai dalam relationship ni,Positive
80,relationship ni toxic sangat,Negative
81,tak ada isu besar setakat ni,Neutral
82,he always makes me smile,Positive
83,aku rasa lonely walaupun ada partner,Negative
84,relationship kami okay je,Neutral
85,he always makes me smile,Positive
86,kami selalu bergaduh tiap hari,Negative
87,aku masih cuba faham dia,Neutral
88,aku rasa dihargai dalam relationship ni,Positive
89,relationship ni toxic sangat,Negative
90,tak ada masalah besar antara kami,Neutral
91,he always makes me smile,Positive
92,dia pentingkan diri sendiri,Negative
93,aku masih cuba faham dia,Neutral
94,he always makes me smile,Positive
95,kami tak serasi langsung,Negative
96,tak terlalu rapat tapi okay,Neutral
97,partner aku baik sangat dan penyayang,Positive
98,aku rasa sangat penat dengan relationship ni,Negative
99,relationship ni stabil je,Neutral
100,saya rasa sangat disayangi oleh dia,Positive
101,partner aku selalu ignore aku,Negative
102,tak ada isu besar setakat ni,Neutral
103,kami selalu communicate dengan baik,Positive
104,relationship ni toxic sangat,Negative
105,neutral je sekarang,Neutral
106,aku rasa dihargai dalam relationship ni,Positive
107,dia pentingkan diri sendiri,Negative
108,tak terlalu rapat tapi okay,Neutral
109,dia sangat understanding dengan aku,Positive
110,partner aku selalu ignore aku,Negative
111,aku tak pasti status relationship ni,Neutral
112,kami selalu communicate dengan baik,Positive
113,kami tak serasi langsung,Negative
114,tak ada masalah besar antara kami,Neutral
115,bf aku sangat caring dan selalu support aku,Positive
116,dia langsung tak peduli perasaan aku,Negative
117,aku tak pasti status relationship ni,Neutral
118,saya rasa sangat disayangi oleh dia,Positive
119,dia selalu marah tanpa sebab,Negative
120,neutral je sekarang,Neutral
121,partner aku selalu buat aku happy,Positive
122,dia selalu marah tanpa sebab,Negative
123,tak terlalu rapat tapi okay,Neutral
124,aku sangat selesa dengan dia,Positive
125,kami tak serasi langsung,Negative
126,tak ada isu besar setakat ni,Neutral
127,relationship kami sangat sihat dan bahagia,Positive
128,aku rasa stressed dalam relationship ni,Negative
129,relationship kami okay je,Neutral
130,partner aku selalu buat aku happy,Positive
131,aku rasa stressed dalam relationship ni,Negative
132,relationship ni stabil je,Neutral
133,dia sangat understanding dengan aku,Positive
134,dia langsung tak peduli perasaan aku,Negative
135,relationship ni stabil je,Neutral
136,aku rasa dihargai dalam relationship ni,Positive
137,aku rasa sangat penat dengan relationship ni,Negative
138,kami just go with the flow,Neutral
139,bf aku sangat caring dan selalu support aku,Positive
140,relationship ni toxic sangat,Negative
141,tak ada isu besar setakat ni,Neutral
142,saya rasa sangat disayangi oleh dia,Positive
143,aku rasa stressed dalam relationship ni,Negative
144,tak ada masalah besar antara kami,Neutral
145,relationship kami sangat sihat dan bahagia,Positive
146,aku rasa stressed dalam relationship ni,Negative
147,neutral je sekarang,Neutral
148,he always makes me smile,Positive
149,aku rasa sangat penat dengan relationship ni,Negative
150,aku masih cuba faham dia,Neutral
151,saya rasa sangat disayangi oleh dia,Positive
152,aku rasa stressed dalam relationship ni,Negative
153,tak ada isu besar setakat ni,Neutral
154,bf aku sangat caring dan selalu support aku,Positive
155,dia pentingkan diri sendiri,Negative
156,aku masih cuba faham dia,Neutral
157,partner aku baik sangat dan penyayang,Positive
158,kami selalu bergaduh tiap hari,Negative
159,tak ada masalah besar antara kami,Neutral
160,dia sangat understanding dengan aku,Positive
161,relationship ni toxic sangat,Negative
162,kami biasa biasa sahaja,Neutral
163,bf aku sangat caring dan selalu support aku,Positive
164,partner aku selalu ignore aku,Negative
165,neutral je sekarang,Neutral
166,partner aku selalu buat aku happy,Positive
167,dia langsung tak peduli perasaan aku,Negative
168,kami just go with the flow,Neutral
169,partner aku selalu buat aku happy,Positive
170,aku rasa stressed dalam relationship ni,Negative
171,aku tak pasti status relationship ni,Neutral
172,saya rasa sangat disayangi oleh dia,Positive
173,kami tak serasi langsung,Negative
174,tak ada isu besar setakat ni,Neutral
175,saya rasa sangat disayangi oleh dia,Positive
176,relationship ni toxic sangat,Negative
177,tak ada isu besar setakat ni,Neutral
178,aku sangat selesa dengan dia,Positive
179,dia selalu marah tanpa sebab,Negative
180,kami biasa biasa sahaja,Neutral
181,kami selalu communicate dengan baik,Positive
182,partner aku selalu ignore aku,Negative
183,relationship ni stabil je,Neutral
184,aku rasa dihargai dalam relationship ni,Positive
185,aku rasa lonely walaupun ada partner,Negative
186,kami just go with the flow,Neutral
187,kami selalu communicate dengan baik,Positive
188,kami tak serasi langsung,Negative
189,tak ada masalah besar antara kami,Neutral
190,he always makes me smile,Positive
191,partner aku selalu ignore aku,Negative
192,tak ada masalah besar antara kami,Neutral
193,dia sangat understanding dengan aku,Positive
194,kami selalu bergaduh tiap hari,Negative
195,neutral je sekarang,Neutral
196,kami selalu communicate dengan baik,Positive
197,partner aku selalu ignore aku,Negative
198,neutral je sekarang,Neutral
199,he always makes me smile,Positive
200,kami selalu bergaduh tiap hari,Negative
201,tak ada masalah besar antara kami,Neutral
202,bf aku sangat caring dan selalu support aku,Positive
203,partner aku selalu ignore aku,Negative
204,tak ada masalah besar antara kami,Neutral
205,bf aku sangat caring dan selalu support aku,Positive
206,aku rasa lonely walaupun ada partner,Negative
207,tak ada masalah besar antara kami,Neutral
208,kami selalu communicate dengan baik,Positive
209,partner aku selalu ignore aku,Negative
210,relationship ni stabil je,Neutral
211,partner aku baik sangat dan penyayang,Positive
212,partner aku selalu ignore aku,Negative
213,tak ada isu besar setakat ni,Neutral
214,saya rasa sangat disayangi oleh dia,Positive
215,dia pentingkan diri sendiri,Negative
216,neutral je sekarang,Neutral
217,partner aku baik sangat dan penyayang,Positive
218,partner aku selalu ignore aku,Negative
219,kami just go with the flow,Neutral
220,aku rasa dihargai dalam relationship ni,Positive
221,partner aku selalu ignore aku,Negative
222,tak ada masalah besar antara kami,Neutral
223,partner aku selalu buat aku happy,Positive
224,dia selalu marah tanpa sebab,Negative
225,aku masih cuba faham dia,Neutral
226,aku rasa dihargai dalam relationship ni,Positive
227,dia selalu marah tanpa sebab,Negative
228,kami just go with the flow,Neutral
229,bf aku sangat caring dan selalu support aku,Positive
230,dia langsung tak peduli perasaan aku,Negative
231,relationship kami okay je,Neutral
232,aku rasa dihargai dalam relationship ni,Positive
233,aku rasa lonely walaupun ada partner,Negative
234,tak ada masalah besar antara kami,Neutral
235,he always makes me smile,Positive
236,partner aku selalu ignore aku,Negative
237,kami biasa biasa sahaja,Neutral
238,kami selalu communicate dengan baik,Positive
239,kami tak serasi langsung,Negative
240,aku tak pasti status relationship ni,Neutral
241,aku rasa dihargai dalam relationship ni,Positive
242,aku rasa sangat penat dengan relationship ni,Negative
243,relationship ni stabil je,Neutral
